dt_venda,loja,uf,produto,canal_venda,tipo_venda,vlr_venda,qt_venda,qt_dias_com_estoque,qt_dias_sem_estoque,qt_dias_com_estoque_aberta,qt_dias_sem_estoque_aberta,qt_dias_loja_fechada,estoque_loja,habilitador
2023-02-01,ABC12684,SP,Produto Z,LOJA,PROMOCAO,260.0,0,21,0,19,0,2,1,1
2023-01-06,ABC13387,SP,Produto Z,LOJA,PROMOCAO,213.0,0,24,4,6,0,22,8,0
2023-01-12,ABC17539,RJ,Produto X,LOJA,PROMOCAO,122.0,0,28,0,6,0,22,1,1
2023-01-25,ABC12684,SP,Produto X,LOJA,PROMOCAO,113.0,0,21,0,19,0,2,3,1
2023-01-17,ABC13387,SP,Produto Z,LOJA,PROMOCAO,213.0,0,24,4,6,0,22,8,0
2023-01-19,ABC17539,RJ,Produto Z,LOJA,PROMOCAO,221.0,0,28,0,6,0,22,9,0
2023-01-07,ABC17539,RJ,Produto Z,LOJA,PROMOCAO,221.0,0,28,0,6,0,22,9,0
2023-01-21,ABC13387,SP,Produto Z,LOJA,PROMOCAO,213.0,0,24,4,6,0,22,0,1
2023-01-09,ABC17539,RJ,Produto Z,LOJA,PROMOCAO,221.0,0,28,0,6,0,22,9,0
2023-01-14,ABC12684,SP,Produto Z,LOJA,PROMOCAO,213.0,0,28,0,27,0,1,3,1
2023-01-28,ABC12684,SP,Produto Z,LOJA,PROMOCAO,260.0,0,21,0,19,0,2,1,1
2023-01-28,ABC12684,SP,Produto X,LOJA,PROMOCAO,113.0,0,21,0,19,0,2,3,1
2023-01-12,ABC12684,SP,Produto Z,LOJA,PROMOCAO,213.0,0,28,0,27,0,1,3,1
2023-01-07,ABC13387,SP,Produto Z,LOJA,PROMOCAO,213.0,0,24,4,6,0,22,8,0
2023-01-15,ABC17539,RJ,Produto Z,LOJA,PROMOCAO,221.0,0,28,0,6,0,22,9,0
2023-01-17,ABC17539,RJ,Produto Z,LOJA,PROMOCAO,221.0,0,28,0,6,0,22,9,0
2023-01-19,ABC13387,SP,Produto X,LOJA,PROMOCAO,122.0,0,2,26,2,4,22,0,1
2023-01-20,ABC13387,SP,Produto X,LOJA,PROMOCAO,122.0,0,2,26,2,4,22,0,1
2023-02-12,ABC12684,SP,Produto Z,LOJA,PROMOCAO,260.0,0,21,0,19,0,2,1,1
2023-01-19,ABC13387,SP,Produto Z,LOJA,PROMOCAO,213.0,0,24,4,6,0,22,0,1
2023-01-22,ABC17539,RJ,Produto Z,LOJA,PROMOCAO,221.0,0,28,0,6,0,22,9,0
2023-01-03,ABC12684,SP,Produto X,LOJA,PROMOCAO,122.0,0,21,7,20,7,1,1,1
2023-01-18,ABC17539,RJ,Produto X,LOJA,PROMOCAO,122.0,0,28,0,6,0,22,1,1
2023-01-03,ABC13387,SP,Produto Z,LOJA,PROMOCAO,213.0,0,24,4,6,0,22,8,0
2023-06-23,ABC3503,SP,Produto X,SITE,REGULAR,124.9,3,19,2,16,1,4,484,0
2023-05-11,ABC3503,SP,Produto Z,SITE,REGULAR,269.9,2,27,0,21,0,6,121,0
2023-08-19,ABC3503,SP,Produto Z,SITE,REGULAR,236.41,1,21,0,19,0,2,48,0
2023-02-18,ABC3503,SP,Produto Z,SITE,REGULAR,262.0,0,22,0,19,0,3,53,0
2023-08-14,ABC3503,SP,Produto X,SITE,REGULAR,123.351.428.571,7,11,12,10,10,3,15,0
2023-04-17,ABC3503,SP,Produto Z,SITE,REGULAR,256.4,1,27,0,21,0,6,87,0
2023-05-26,ABC3503,SP,Produto Z,SITE,REGULAR,269.9,1,15,0,12,0,3,93,0
2023-01-19,ABC3503,SP,Produto Z,SITE,REGULAR,213.0,0,27,2,21,1,7,0,1
2023-05-22,ABC3503,SP,Produto X,SITE,REGULAR,124.9,1,16,0,13,0,3,353,0
2023-05-04,ABC3503,SP,Produto Z,SITE,REGULAR,269.9,1,27,0,21,0,6,159,0
2023-03-07,ABC3503,SP,Produto X,SITE,REGULAR,124.9,2,23,0,20,0,3,520,0
2023-03-23,ABC3503,SP,Produto X,SITE,REGULAR,124.9,7,22,0,19,0,3,386,0
2023-03-22,ABC3503,SP,Produto X,SITE,REGULAR,124.9,3,22,0,19,0,3,394,0
2023-09-17,ABC3503,SP,Produto X,SITE,REGULAR,127.0,0,7,14,1,0,20,0,1
2023-07-19,ABC3503,SP,Produto Z,SITE,REGULAR,279.9,1,22,0,18,0,4,108,0
2023-07-26,ABC3503,SP,Produto X,SITE,REGULAR,117.9,3,11,12,10,10,3,0,1
2023-02-23,ABC3503,SP,Produto X,SITE,REGULAR,124.9,2,23,0,20,0,3,310,0
2023-07-06,ABC3503,SP,Produto X,SITE,PROMOCAO,117.9,27,21,1,18,0,4,309,0
2023-03-16,ABC3503,SP,Produto X,SITE,REGULAR,124.9,7,22,0,19,0,3,431,0
2023-08-14,ABC3503,SP,Produto Z,SITE,REGULAR,279.9,3,22,0,19,0,3,64,0
2023-08-09,ABC3503,SP,Produto X,SITE,REGULAR,129.9,2,11,12,10,10,3,0,1
2023-02-13,ABC3503,SP,Produto Z,SITE,REGULAR,269.9,1,22,0,19,0,3,65,0
2023-08-19,ABC3503,SP,Produto X,SITE,REGULAR,127.0,0,9,13,9,11,2,0,1
2023-03-08,ABC3503,SP,Produto X,SITE,REGULAR,124.9,12,22,0,19,0,3,502,0
2023-02-13,ABC3503,SP,Produto X,SITE,PROMOCAO,113.9,29,23,0,20,0,3,210,0
2023-07-28,ABC3503,SP,Produto Z,SITE,REGULAR,279.9,1,22,0,19,0,3,79,0
2023-03-24,ABC3503,SP,Produto X,SITE,REGULAR,124.9,1,22,0,19,0,3,374,0
2023-07-06,ABC3503,SP,Produto X,SITE,PROMOCAO,117.9,3,21,1,18,0,4,309,0
2023-03-13,ABC3503,SP,Produto X,SITE,REGULAR,124.9,1,22,0,19,0,3,471,0
2023-05-05,ABC3503,SP,Produto Z,SITE,REGULAR,269.9,1,27,0,21,0,6,152,0
2023-03-02,ABC3503,SP,Produto X,SITE,REGULAR,124.9,3,23,0,20,0,3,548,0
2023-01-09,ABC3503,SP,Produto Z,SITE,REGULAR,269.9,5,27,2,21,1,7,31,0
2023-06-24,ABC3503,SP,Produto X,SITE,REGULAR,124.9,2,19,2,16,1,4,476,0
2023-05-06,ABC3503,SP,Produto X,SITE,REGULAR,112.91,1,29,0,23,0,6,521,0
2023-04-04,ABC3503,SP,Produto X,SITE,REGULAR,124.9,5,23,0,19,0,4,370,0
2023-05-16,ABC3503,SP,Produto Z,SITE,REGULAR,269.9,1,15,0,12,0,3,109,0
2023-08-01,ABC3503,SP,Produto X,SITE,REGULAR,125.0,0,11,12,10,10,3,0,1
2023-05-19,ABC3503,SP,Produto Z,SITE,REGULAR,264.0,0,15,0,12,0,3,107,0
2023-07-14,ABC3503,SP,Produto X,SITE,PROMOCAO,117.9,14,21,1,18,0,4,129,0
2023-07-27,ABC3503,SP,Produto Z,SITE,REGULAR,279.9,3,22,0,19,0,3,81,0
2023-08-04,ABC3503,SP,Produto X,SITE,REGULAR,125.0,0,11,12,10,10,3,0,1
2023-04-01,ABC3503,SP,Produto X,SITE,REGULAR,122.0,0,23,0,19,0,4,378,0
2023-04-26,ABC3503,SP,Produto X,SITE,REGULAR,108.74,8,29,0,23,0,6,622,0
2023-07-19,ABC3503,SP,Produto X,SITE,PROMOCAO,117.9,1,21,1,18,0,4,0,1
2023-04-02,ABC3503,SP,Produto X,SITE,REGULAR,122.0,0,23,0,19,0,4,374,0
2023-02-06,ABC3503,SP,Produto X,SITE,PROMOCAO,113.9,14,23,0,20,0,3,296,0
2023-01-09,ABC3503,SP,Produto Z,SITE,REGULAR,260.04,2,27,2,21,1,7,31,0
2023-03-11,ABC3503,SP,Produto Z,SITE,REGULAR,269.9,4,21,0,18,0,3,147,0
2023-07-14,ABC3503,SP,Produto Z,SITE,REGULAR,279.9,2,22,0,18,0,4,87,0
2023-01-28,ABC3503,SP,Produto X,SITE,PROMOCAO,113.9,6,23,0,20,0,3,216,0
2023-07-22,ABC3503,SP,Produto X,SITE,PROMOCAO,117.9,3,21,1,18,0,4,0,1
2023-05-24,ABC3503,SP,Produto X,SITE,REGULAR,124.9,6,16,0,13,0,3,343,0
2023-08-09,ABC3503,SP,Produto Z,SITE,REGULAR,279.9,2,22,0,19,0,3,48,0
2023-08-02,ABC3503,SP,Produto X,SITE,REGULAR,125.0,0,11,12,10,10,3,0,1
2023-03-08,ABC3503,SP,Produto X,SITE,REGULAR,124.9,6,22,0,19,0,3,502,0
